strain,accession,originating_lab,submitting_lab,segment
A/Heilongjiang-Yichun/1634/2016,EPI817112,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/HeilongjiangHarbinNangang/124/2011,EPI608569,?,Other Database Import,HA
A/HeilongjiangHarbinXiangfang/1117/2010,EPI606259,?,Other Database Import,HA
A/HeilongjiangHarbinXiangfang/129/2010,EPI609663,?,Other Database Import,HA
A/HeilongjiangMudanjiangLongsha/160/2010,EPI606415,?,Other Database Import,HA
A/HeilongjiangQiqiharJianhua/1496/2009,EPI609295,?,Other Database Import,HA
A/HeilongjiangQiqiharJianhua/1593/2009,EPI608288,?,Other Database Import,HA
A/HeilongjiangQiqiharJianhua/172/2010,EPI608130,?,Other Database Import,HA
A/HeilongjiangQitaiheTaoshan/147/2011,EPI606996,?,Other Database Import,HA
A/Henan-Muye/35/2012,EPI388448,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Henan-Ruyang/1639/2015,EPI696988,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Henan-Shihe/1212/2017,EPI1030345,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Henan-Shihe/1562/2014,EPI562245,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Henan-Xigong/11041/2014,EPI554730,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Henan/102/1999,EPI360728,?,Other Database Import,HA
A/Henan/104/1999,EPI360727,?,Other Database Import,HA
A/Henan/136/2001,EPI360250,?,Other Database Import,HA
A/Henan/142/2001,EPI360182,?,Other Database Import,HA
A/Henan/316/2002,EPI360237,?,Other Database Import,HA
A/Henan/8/2002,EPI360263,?,Other Database Import,HA
A/Hessen/37/2009,EPI576197,?,Robert Koch Institute,HA
A/Hessen/4/2010,EPI301368,Robert Koch Institute,National Institute For Medical Research,HA
A/Hessen/42/2019,EPI1449559,Robert Koch Institute Nationales Referenzzentrum Für Influenza,Crick Worldwide Influenza Centre,HA
A/Hessen/48/2017,EPI1040720,Robert Koch Institute,Crick Worldwide Influenza Centre,HA
A/Hessen/5/2010,EPI302193,Robert Koch Institute,National Institute For Medical Research,HA
A/Hiroshima-C/20/2009,EPI187322,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima-C/23/2012,EPI377238,Hiroshima City Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima-C/27/2010,EPI278091,Hiroshima City Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima-C/28/2008,EPI157324,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima-C/38/2008,EPI160609,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima-C/53/2011,EPI347697,Hiroshima City Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima-C/7/2009,EPI187323,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/1/2001,EPI606500,?,Other Database Import,HA
A/Hiroshima/115/2011,EPI347700,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/123/2011,EPI353235,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/14/2004,EPI145246,?,Other Database Import,HA
A/Hiroshima/148/2009,EPI187674,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/149/2006,EPI146435,?,Other Database Import,HA
A/Hiroshima/150/2006,EPI146436,?,Other Database Import,HA
A/Hiroshima/154/2009,EPI187675,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/19/2004,EPI145247,?,Other Database Import,HA
A/Hiroshima/21/2013,EPI511058,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/24/2016,EPI873210,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/25/2005,EPI145488,?,Other Database Import,HA
A/Hiroshima/25/2016,EPI873705,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/253/2000,EPI607525,?,Other Database Import,HA
A/Hiroshima/29/2005,EPI145490,?,Other Database Import,HA
A/Hiroshima/39/2004,EPI145248,?,Other Database Import,HA
A/Hiroshima/46/2006,EPI145762,?,Other Database Import,HA
A/Hiroshima/49/2010,EPI294053,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/5/2004,EPI145245,?,Other Database Import,HA
A/Hiroshima/52/2005,EPI126805,National Institute Of Infectious Diseases (niid),Other Database Import,HA
A/Hiroshima/52/2008,EPI172131,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/53/2005,EPI145492,?,Other Database Import,HA
A/Hiroshima/54/2005,EPI145493,?,Other Database Import,HA
A/Hiroshima/54/2010,EPI305311,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/64/2005,EPI145494,?,Other Database Import,HA
A/Hiroshima/66/2002,EPI607090,?,Other Database Import,HA
A/Hiroshima/73/2018,EPI1351513,"Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute",National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/8/2008,EPI157323,?,National Institute Of Infectious Diseases (niid),HA
A/Hiroshima/9/2005,EPI145487,?,Other Database Import,HA
A/HoChiMinh/5186/2010,EPI534967,?,Other Database Import,HA
A/HoChiMinh/5517/2010,EPI534968,?,Other Database Import,HA
A/HoChiMinh/5527/2010,EPI534969,?,Other Database Import,HA
A/HoChiMinh/5897/2010,EPI534971,?,Other Database Import,HA
A/HoChiMinh/5947/2010,EPI534972,?,Other Database Import,HA
A/HoChiMinh/6117/2010,EPI534974,?,Other Database Import,HA
A/HoChiMinh/6318/2010,EPI534977,?,Other Database Import,HA
A/HoChiMinh/6528/2010,EPI534981,?,Other Database Import,HA
A/HoaBinh/HB378/2007,EPI355330,?,Other Database Import,HA
A/HoaBinh/HB409/2007,EPI355338,?,Other Database Import,HA
A/Hokkaido/1/2017,EPI997181,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/10H008/2010,EPI340529,?,Other Database Import,HA
A/Hokkaido/10H019/2010,EPI340524,?,Other Database Import,HA
A/Hokkaido/10H060/2011,EPI340517,?,Other Database Import,HA
A/Hokkaido/10H079/2011,EPI340516,?,Other Database Import,HA
A/Hokkaido/16/2010,EPI279627,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/17/2010,EPI279628,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/19416/2010,EPI305308,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/20/2016,EPI809659,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/34/2004,EPI145250,?,Other Database Import,HA
A/Hokkaido/50/2006,EPI145769,?,Other Database Import,HA
A/Hokkaido/6/2015,EPI624887,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/7/2018,EPI1335523,Hokkaido Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Hokkaido/79/2005,EPI145497,?,Other Database Import,HA
A/Hokkaido/85/2005,EPI145498,?,Other Database Import,HA
A/Hokkaido/HH01/2017,EPI941993,National Institute Of Infectious Diseases (niid),National Institute Of Infectious Diseases (niid),HA
A/Honduras/1038/2007,EPI163229,?,Centers For Disease Control And Prevention,HA
A/Honduras/111/2017,EPI1026910,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/17557/2016,EPI814317,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/187/2017,EPI1026926,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/188/2017,EPI1026934,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/1919/2006,EPI155201,?,Centers For Disease Control And Prevention,HA
A/Honduras/1922/2006,EPI155203,?,Centers For Disease Control And Prevention,HA
A/Honduras/1923/2006,EPI155205,?,Centers For Disease Control And Prevention,HA
A/Honduras/195/2017,EPI1026942,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/202/2017,EPI1035374,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/2243/2009,EPI193974,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/234/2017,EPI1035382,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/2426/2009,EPI211349,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/2445/2009,EPI211352,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/3112/2006,EPI155373,?,Centers For Disease Control And Prevention,HA
A/Honduras/379/2017,EPI1056315,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/388/2017,EPI1056323,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/444/2017,EPI1056331,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/446/2017,EPI1056339,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/45/2006,EPI155689,?,Centers For Disease Control And Prevention,HA
A/Honduras/460/2017,EPI1056347,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/4607/2019,EPI1548747,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/4636/2019,EPI1548763,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/467/2017,EPI1056355,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/477/2017,EPI1056379,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/482/2017,EPI1056387,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/492/2017,EPI1056395,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/504/2017,EPI1056403,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/506/2017,EPI1056419,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/5229/2019,EPI1618926,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/5344/2019,EPI1629180,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/5367/2019,EPI1627583,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/5408/2019,EPI1631081,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/5560/2007,EPI157658,?,Centers For Disease Control And Prevention,HA
A/Honduras/582/2005,EPI157660,?,Centers For Disease Control And Prevention,HA
A/Honduras/602/2007,EPI157662,?,Centers For Disease Control And Prevention,HA
A/Honduras/6065/2010,EPI274453,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/6374/2007,EPI157664,?,Centers For Disease Control And Prevention,HA
A/Honduras/639/2009,EPI185782,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/6453/2007,EPI157670,?,Centers For Disease Control And Prevention,HA
A/Honduras/6549/2015,EPI688172,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/6684/2015,EPI709409,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/6705/2010,EPI295259,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/7828/2016,EPI825039,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/7873/2016,EPI814325,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/83/2005,EPI157672,?,Centers For Disease Control And Prevention,HA
A/Honduras/93/2005,EPI157673,?,Centers For Disease Control And Prevention,HA
A/Honduras/9568/2016,EPI870251,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/9633/2016,EPI870259,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/9889/2017,EPI1035413,Laboratorio Nacional De Virologia,Centers For Disease Control And Prevention,HA
A/Honduras/AF1069/2006,EPI63850,?,Other Database Import,HA
A/Honduras/AF1070/2006,EPI63852,?,Other Database Import,HA
A/Honduras/AF1071/2006,EPI63854,?,Other Database Import,HA
A/Honduras/AF1101/2007,EPI132853,?,Other Database Import,HA
A/Honduras/AF1129/2007,EPI132867,?,Other Database Import,HA
A/Honduras/AF1136/2007,EPI132871,?,Other Database Import,HA
A/Honduras/AF1422/2007,EPI153122,?,Other Database Import,HA
A/Honduras/AF1423/2007,EPI153123,?,Other Database Import,HA
A/Honduras/AF1424/2007,EPI153124,?,Other Database Import,HA
A/Honduras/AF1425/2007,EPI153125,?,Other Database Import,HA
A/Honduras/AF1426/2007,EPI153126,?,Other Database Import,HA
A/Honduras/AF1427/2007,EPI153127,?,Other Database Import,HA
A/Honduras/AF1428/2007,EPI153128,?,Other Database Import,HA
A/HongKong/1036/2013,EPI466782,Government Virus Unit,National Institute For Medical Research,HA
A/HongKong/105/2008,EPI161883,?,Centers For Disease Control And Prevention,HA
A/HongKong/1052/2003,EPI157677,?,Centers For Disease Control And Prevention,HA
A/HongKong/1060/2019,EPI1415361,Hong Kong Department Of Health,Hong Kong Department Of Health,HA
A/HongKong/1077/2018,EPI1266160,Government Virus Unit,Centers For Disease Control And Prevention,HA
A/HongKong/1078/2018,EPI1266436,Hong Kong Department Of Health,Centers For Disease Control And Prevention,HA
A/HongKong/1100/2018,EPI1270790,Hong Kong Department Of Health,Crick Worldwide Influenza Centre,HA
A/HongKong/1101/2018,EPI1266205,Hong Kong Department Of Health,Centers For Disease Control And Prevention,HA
A/HongKong/1106/2018,EPI1266420,Government Virus Unit,Centers For Disease Control And Prevention,HA
A/HongKong/1110/2018,EPI1270792,Government Virus Unit,Crick Worldwide Influenza Centre,HA
A/HongKong/1130/2018,EPI1266152,Government Virus Unit,Centers For Disease Control And Prevention,HA
A/HongKong/1132/2019,EPI1415364,Hong Kong Department Of Health,Hong Kong Department Of Health,HA
A/HongKong/1143/2002,EPI607550,?,Other Database Import,HA
A/HongKong/1144/2013,EPI463665,"Public Health Laboratory Services Branch, Centre For Health Protection","Public Health Laboratory Services Branch, Centre For Health Protection",HA
A/HongKong/1159/2003,EPI157678,?,Centers For Disease Control And Prevention,HA
A/HongKong/1160/2003,EPI157679,?,Centers For Disease Control And Prevention,HA
A/HongKong/11709/2015,EPI631563,Government Virus Unit,Centers For Disease Control And Prevention,HA
A/HongKong/11713/2015,EPI630731,Government Virus Unit,Crick Worldwide Influenza Centre,HA
A/HongKong/1173/2003,EPI157680,?,Centers For Disease Control And Prevention,HA
A/HongKong/11743/2015,EPI630733,Government Virus Unit,Crick Worldwide Influenza Centre,HA
A/HongKong/12/2014,EPI500282,Government Virus Unit,National Institute For Medical Research,HA
A/HongKong/1201/2018,EPI1278484,Hong Kong Department Of Health,Hong Kong Department Of Health,HA
A/HongKong/121715/2002,EPI608131,?,Other Database Import,HA
A/HongKong/122/2017,EPI918268,Government Virus Unit,Centers For Disease Control And Prevention,HA
A/HongKong/123/2017,EPI918276,Government Virus Unit,Centers For Disease Control And Prevention,HA
A/HongKong/1247/2018,EPI1278489,Hong Kong Department Of Health,Hong Kong Department Of Health,HA
A/HongKong/1251/2001,EPI609200,?,Other Database Import,HA
A/HongKong/1256/2003,EPI157682,?,Centers For Disease Control And Prevention,HA
A/HongKong/1269/2001,EPI608094,?,Other Database Import,HA
A/HongKong/1295/2018,EPI1278493,Hong Kong Department Of Health,Hong Kong Department Of Health,HA
A/HongKong/1325/2018,EPI1278494,Hong Kong Department Of Health,Hong Kong Department Of Health,HA
A/HongKong/1399/2000,EPI608091,?,Other Database Import,HA
A/HongKong/1418/2000,EPI607476,?,Other Database Import,HA
A/HongKong/146/2013,EPI426061,Government Virus Unit,National Institute For Medical Research,HA
A/HongKong/15/2004,EPI157684,?,Centers For Disease Control And Prevention,HA
A/HongKong/15/2013,EPI426063,Government Virus Unit,National Institute For Medical Research,HA
A/HongKong/1510/2002,EPI609528,?,Other Database Import,HA
A/HongKong/1550/2002,EPI606600,Centers For Disease Control And Prevention,Other Database Import,HA
A/HongKong/1554/2002,EPI606491,?,Other Database Import,HA
